customer_id,created_date,canceled_date,subscription_cost,subscription_interval,was_subscription_paid
154536156,09-01-2022,,39,month,Yes
149713408,09-01-2022,09-02-2022,39,month,No
153756284,09-01-2022,09-02-2022,39,month,No
121253113,09-01-2022,09-23-2022,39,month,Yes
154467210,09-01-2022,06-29-2023,39,month,Yes
154510811,09-01-2022,05-08-2023,39,month,Yes
154494346,09-01-2022,11-26-2022,39,month,Yes
148671505,09-01-2022,11-23-2022,39,month,Yes
154568379,09-01-2022,10-25-2022,39,month,Yes
154428434,09-01-2022,10-31-2022,39,month,Yes
154601651,09-01-2022,09-26-2022,39,month,Yes
122824692,09-01-2022,09-15-2022,39,month,Yes
152925600,09-02-2022,,39,month,Yes
151154171,09-02-2022,09-02-2022,39,month,Yes
154640950,09-02-2022,12-09-2022,39,month,Yes
154617329,09-02-2022,10-27-2022,39,month,Yes
154089211,09-02-2022,10-09-2022,39,month,Yes
154653820,09-02-2022,09-26-2022,39,month,Yes
154131290,09-03-2022,,39,month,Yes
154434009,09-03-2022,,39,month,Yes
136108848,09-03-2022,09-04-2022,39,month,Yes
135185873,09-03-2022,05-10-2023,39,month,Yes
154592664,09-03-2022,04-01-2023,39,month,Yes
119436804,09-03-2022,04-10-2023,39,month,Yes
152929657,09-03-2022,11-23-2022,39,month,Yes
154708974,09-03-2022,10-18-2022,39,month,Yes
154567722,09-03-2022,09-29-2022,39,month,Yes
154719788,09-03-2022,09-25-2022,39,month,Yes
154809306,09-04-2022,09-05-2022,39,month,Yes
140391539,09-04-2022,04-05-2023,39,month,Yes
153194806,09-04-2022,04-16-2023,39,month,Yes
144402204,09-04-2022,09-22-2022,39,month,Yes
154747678,09-04-2022,01-15-2023,39,month,Yes
130939158,09-04-2022,02-19-2023,39,month,Yes
150912359,09-04-2022,11-02-2022,39,month,Yes
154132592,09-04-2022,11-01-2022,39,month,Yes
153368891,09-04-2022,10-11-2022,39,month,Yes
154225450,09-05-2022,,39,month,Yes
154904040,09-05-2022,09-06-2022,39,month,Yes
127604200,09-05-2022,10-06-2022,39,month,Yes
154913576,09-05-2022,03-13-2023,39,month,Yes
154910432,09-05-2022,03-13-2023,39,month,Yes
154911229,09-05-2022,03-12-2023,39,month,Yes
154518837,09-05-2022,01-03-2023,39,month,Yes
154910009,09-05-2022,02-08-2023,39,month,Yes
154911693,09-05-2022,02-08-2023,39,month,Yes
154894177,09-05-2022,12-12-2022,39,month,Yes
154494026,09-05-2022,12-12-2022,39,month,Yes
154245189,09-05-2022,11-26-2022,39,month,Yes
154604182,09-05-2022,10-19-2022,39,month,Yes
154711552,09-05-2022,10-05-2022,39,month,Yes
154827564,09-05-2022,10-09-2022,39,month,Yes
143581543,09-05-2022,10-12-2022,39,month,Yes
154867798,09-05-2022,10-05-2022,39,month,Yes
154863996,09-05-2022,09-09-2022,39,month,Yes
154923423,09-06-2022,,39,month,Yes
134664128,09-06-2022,,39,month,Yes
154828806,09-06-2022,11-20-2022,39,month,Yes
154934030,09-06-2022,11-13-2022,39,month,Yes
153671424,09-06-2022,10-13-2022,39,month,Yes
154693818,09-06-2022,10-13-2022,39,month,Yes
154110938,09-06-2022,09-26-2022,39,month,Yes
154809306,09-06-2022,09-28-2022,39,month,Yes
154537244,09-07-2022,,39,month,Yes
154163218,09-07-2022,,39,month,Yes
129467426,09-07-2022,05-25-2023,39,month,Yes
152498330,09-07-2022,02-22-2023,39,month,Yes
125335731,09-07-2022,09-14-2022,39,month,Yes
155113805,09-08-2022,,39,month,Yes
148864769,09-08-2022,10-28-2022,39,month,Yes
123850281,09-08-2022,10-15-2022,39,month,Yes
155167073,09-08-2022,10-06-2022,39,month,Yes
153684891,09-08-2022,09-09-2022,39,month,Yes
131277340,09-09-2022,03-01-2023,39,month,Yes
152027172,09-09-2022,12-02-2022,39,month,Yes
155212612,09-09-2022,11-03-2022,39,month,Yes
155188498,09-09-2022,10-09-2022,39,month,Yes
155145336,09-09-2022,10-03-2022,39,month,Yes
152506474,09-09-2022,10-16-2022,39,month,Yes
118029150,09-09-2022,08-16-2023,39,month,Yes
155245796,09-10-2022,,39,month,Yes
155326259,09-10-2022,02-21-2023,39,month,Yes
155311918,09-10-2022,12-12-2022,39,month,Yes
154391473,09-10-2022,10-12-2022,39,month,Yes
155283495,09-10-2022,10-08-2022,39,month,Yes
154597373,09-10-2022,10-06-2022,39,month,Yes
155370310,09-11-2022,05-16-2023,39,month,Yes
155289120,09-11-2022,02-15-2023,39,month,Yes
155351408,09-11-2022,12-11-2022,39,month,Yes
155336773,09-11-2022,12-24-2022,39,month,Yes
155017581,09-11-2022,11-02-2022,39,month,Yes
154401329,09-11-2022,10-15-2022,39,month,Yes
155334828,09-11-2022,10-11-2022,39,month,Yes
154815431,09-11-2022,09-11-2022,39,month,Yes
155343938,09-11-2022,08-18-2023,39,month,Yes
152436458,09-12-2022,09-12-2022,39,month,Yes
154689541,09-12-2022,09-13-2022,39,month,No
155425695,09-12-2022,10-19-2022,39,month,Yes
152698255,09-12-2022,10-12-2022,39,month,Yes
155406449,09-13-2022,08-27-2023,39,month,Yes
137338480,09-13-2022,09-14-2022,39,month,Yes
155508519,09-13-2022,10-23-2022,39,month,Yes
155463846,09-13-2022,10-03-2022,39,month,Yes
122335220,09-13-2022,09-17-2022,39,month,Yes
155460904,09-13-2022,06-14-2023,39,month,Yes
155534484,09-14-2022,09-15-2022,39,month,No
155465332,09-14-2022,03-06-2023,39,month,Yes
155562517,09-14-2022,12-07-2022,39,month,Yes
153577096,09-14-2022,10-21-2022,39,month,Yes
154937101,09-15-2022,,39,month,Yes
144968444,09-15-2022,09-15-2022,39,month,No
155270889,09-15-2022,03-06-2023,39,month,Yes
155601465,09-15-2022,06-01-2023,39,month,Yes
154045370,09-15-2022,11-28-2022,39,month,Yes
155612742,09-15-2022,11-08-2022,39,month,Yes
155621162,09-15-2022,11-14-2022,39,month,Yes
